	Number,	State/UT,	Admin_Capital,	Legislative_Capital,	Judiciary_Capital,	Year_Capital,	Former_Capital
0	1	Andaman and Nicobar Islands	Port Blair	Port Blair	Kolkata	1956	Calcuta (1945–1956)
1	2	Andhra Pradesh	Hyderabad	Hyderabad	Hyderabad	1956	
2	3	Arunachal Pradesh	Itanagar	Itanagar	Guwahati	1986	
3	4	Assam	Dispur	Guwahati	Guwahati	1975	Shillong
4	5	Bihar	Patna	Patna	Patna	1912	
5	6	Chandigarh	Chandigarh	 —	Chandigarh	1966	 —
6	7	Chhattisgarh	Raipur	Raipur	Bilaspur	2000	 —
7	8	Dadra and Nagar Haveli	Silvassa	 —	Mumbai	1945	Mumbai (1954–1961)
8	9	Daman and Diu	Daman	 —	Mumbai	1987	Ahmedabad
9	10	National Capital Territory of Delhi	New Delhi	New Delhi	New Delhi	1931	 —
10	11	Goa	Panaji	Porvorim	Mumbai	1961	Panaji (1961–1987)
11	12	Gujarat	Gandhinagar	Gandhinagar	Ahmedabad	1960	Ahmedabad
12	13	Haryana	Chandigarh	Chandigarh	Chandigarh	1966	 —
13	14	Himachal Pradesh	Shimla	Shimla 	Shimla 	1971	Bilaspur
14	15	Jammu and Kashmir	Srinagar	Srinagar (Summer)	Srinagar (Summer)	1947	 —
15	16	Jharkhand	Ranchi	Ranchi	Ranchi	2000	 —
16	17	Karnataka	Bengaluru	Bengaluru	Bengaluru	1940	(Mysore)
17	18	Kerala	Thiruvananthapuram	Thiruvananthapuram	Kochi	1956	
18	19	Lakshadweep	Kavaratti	Kavaratti	Kochi	1956	
19	20	Madhya Pradesh	Bhopal	Bhopal	Jabalpur	1956	Nagpur
20	21	Maharashtra	Mumbai	Mumbai (S+B)	Mumbai	1818	 —
21	22	Manipur	Imphal	Imphal	Imphal	1947	 —
22	23	Meghalaya	Shillong	Shillong	Shillong	1970	 —
23	24	Mizoram	Aizawl	Aizawl	Guwahati	1972	 —
24	25	Nagaland	Kohima	Kohima	Guwahati	1963	 —
25	26	Odisha	Bhubaneswar	Bhubaneswar	Cuttack	1948	Cuttack
26	27	Puducherry	Puducherry	Puducherry	Chennai	1954	Madras
27	28	Punjab	Chandigarh	Chandigarh	Chandigarh	1960	Lahore
28	29	Rajasthan	Jaipur	Jaipur	Jodhpur	1950	 —
29	30	Sikkim	Gangtok	Gangtok	Gangtok	1890	 —
30	31	Tamil Nadu	Chennai	Chennai	Chennai	1956	 
31	32	Telangana	Hyderabad	Hyderabad	Hyderabad	2014	 —
32	33	Tripura	Agartala	Agartala	Agartala	1956	 —
33	34	Uttar Pradesh	Lucknow	Lucknow	Allahabad	1938	 —
34	35	Uttarakhand	Dehradun	Dehradun	Nainital	2000	 —
35	36	West Bengal	Kolkata	Kolkata	Kolkata	1947	 
